"Relative Time (Process)","pi_hanoi_300_subtasks_no_masking - system/gpu.0.powerWatts","pi_hanoi_300_subtasks_no_masking - system/gpu.0.powerWatts__MIN","pi_hanoi_300_subtasks_no_masking - system/gpu.0.powerWatts__MAX"
"7260.522649094","429.023","429.023","429.023"
"7275.52517839","430.094","430.094","430.094"
"7290.524748041","424.81","424.81","424.81"
"7305.523356892","438.599","438.599","438.599"
"7320.523147849","430.138","430.138","430.138"
"7335.523255437","431.113","431.113","431.113"
"7350.522941123","428.998","428.998","428.998"
"7365.523899081","428.08","428.08","428.08"
"7380.522991831","430.703","430.703","430.703"
"7395.523105058","427.755","427.755","427.755"
"7410.524189918","430.125","430.125","430.125"
"7425.523369513","429.62","429.62","429.62"
"7440.523848633","423.397","423.397","423.397"
"7455.522981141","430.044","430.044","430.044"
"7470.52368952","431.082","431.082","431.082"
"7485.523372987","423.552","423.552","423.552"
"7500.523351514","427.637","427.637","427.637"
"7515.524485095","430.66","430.66","430.66"
"7530.524444166","425.769","425.769","425.769"
"7545.523770847","435.675","435.675","435.675"
"7560.523019693","431.562","431.562","431.562"
"7575.524368959","427.022","427.022","427.022"
"7590.523241966","437.869","437.869","437.869"
"7605.523688605","431.375","431.375","431.375"
"7620.523017347","428.07","428.07","428.07"
"7635.524668932","429.362","429.362","429.362"
"7650.523875991","428.945","428.945","428.945"
"7665.523701102","429.87","429.87","429.87"
"7680.522589302","435.359","435.359","435.359"
"7695.523562406","427.799","427.799","427.799"
"7710.523041549","430.512","430.512","430.512"
"7725.523875442","425.601","425.601","425.601"
"7740.523723773","430.65","430.65","430.65"
"7755.523842129","431.051","431.051","431.051"
"7770.522670909","426.049","426.049","426.049"
"7785.523666473","429.505","429.505","429.505"
"7800.523199554","429.425","429.425","429.425"
"7815.524600096","425.309","425.309","425.309"
"7830.523995443","429.244","429.244","429.244"
"7845.523272029","431.5","431.5","431.5"
"7860.523496914","425.748","425.748","425.748"
"7875.523822484","432.798","432.798","432.798"
"7890.523086045","431.445","431.445","431.445"
"7905.524036649","427.03","427.03","427.03"
"7920.525294854","438.492","438.492","438.492"
"7935.523389202","430.828","430.828","430.828"
"7950.522462445","433.071","433.071","433.071"
"7965.52273029","434.921","434.921","434.921"
"7980.525088819","426.318","426.318","426.318"
"7995.523660619","430.067","430.067","430.067"
"8010.524328344","427.266","427.266","427.266"
"8025.523430278","428.109","428.109","428.109"
"8040.524014338","429.679","429.679","429.679"
"8055.522737723","426.402","426.402","426.402"
"8070.523232845","429.917","429.917","429.917"
"8085.5253786","430.285","430.285","430.285"
"8100.523004316","423.989","423.989","423.989"
"8115.523252818","434.396","434.396","434.396"
"8130.523310896","432.208","432.208","432.208"
"8145.523163658","422.875","422.875","422.875"
"8160.523151716","433.342","433.342","433.342"
"8175.523311279","431.078","431.078","431.078"
"8190.522777839","424.574","424.574","424.574"
"8205.524184967","433.52","433.52","433.52"
"8220.523509628","430.745","430.745","430.745"
"8235.523889206","429.331","429.331","429.331"
"8250.523044136","434.122","434.122","434.122"
"8265.522444063","426.607","426.607","426.607"
"8280.52377201","429.39","429.39","429.39"
"8295.523019038","429.134","429.134","429.134"
"8310.524530652","429.302","429.302","429.302"
"8325.523059273","429.693","429.693","429.693"
"8340.523318748","427.73","427.73","427.73"
"8355.523424332","431.569","431.569","431.569"
"8370.524011958","430.435","430.435","430.435"
"8385.522923403","423.61","423.61","423.61"
"8400.524626205","429.918","429.918","429.918"
"8415.524490048","430.443","430.443","430.443"
"8430.523076731","423.617","423.617","423.617"
"8445.523410359","435.218","435.218","435.218"
"8460.523962462","430.367","430.367","430.367"
"8475.523533453","422.604","422.604","422.604"
"8490.523461233","432.1","432.1","432.1"
"8505.522740969","430.112","430.112","430.112"
"8520.523521659","428.231","428.231","428.231"
"8535.523759852","435.008","435.008","435.008"
"8550.523646414","429.31","429.31","429.31"
"8565.523381783","428.346","428.346","428.346"
"8580.523068721","430.279","430.279","430.279"
"8595.523257006","428.631","428.631","428.631"
"8610.5229511","430.018","430.018","430.018"
"8625.524392176","426.374","426.374","426.374"
"8640.52502121","429.391","429.391","429.391"
"8655.52403208","430.443","430.443","430.443"
"8670.522285816","425.598","425.598","425.598"
"8685.523209022","428.372","428.372","428.372"
"8700.523813955","431.532","431.532","431.532"
"8715.523724065","428.261","428.261","428.261"
"8730.523023861","431.375","431.375","431.375"
"8745.522806626","430.909","430.909","430.909"
"8760.523194528","426.67","426.67","426.67"
"8775.524043691","432.221","432.221","432.221"
"8790.525164603","431.028","431.028","431.028"
"8805.5234112","427.151","427.151","427.151"
"8820.52318994","430.397","430.397","430.397"
"8835.523100566","429.592","429.592","429.592"
"8850.52268294","429.823","429.823","429.823"
"8865.523557756","432.113","432.113","432.113"
"8880.522698379","430.485","430.485","430.485"
"8895.522819802","429.675","429.675","429.675"
"8910.522161056","424.903","424.903","424.903"
"8925.522937163","428.018","428.018","428.018"
"8940.523155845","430.265","430.265","430.265"
"8955.523022285","425.249","425.249","425.249"
"8970.523722292","424.558","424.558","424.558"
"8985.523468787","431.286","431.286","431.286"
"9000.523323751","424.519","424.519","424.519"
"9015.523811497","433.789","433.789","433.789"
"9030.523510283","431.831","431.831","431.831"
"9045.52261533","428.722","428.722","428.722"
"9060.523576537","429.38","429.38","429.38"
"9075.522734568","430.939","430.939","430.939"
"9090.523229437","424.146","424.146","424.146"
"9105.523363603","433.146","433.146","433.146"
"9120.524097898","430.089","430.089","430.089"
"9135.523040549","432.459","432.459","432.459"
"9150.523544195","436.674","436.674","436.674"
"9165.522644374","428.44","428.44","428.44"
"9180.523486972","431.392","431.392","431.392"
"9195.523687305","424.774","424.774","424.774"
"9210.523817637","431.007","431.007","431.007"
"9225.523645333","430.833","430.833","430.833"
"9240.524536808","427.327","427.327","427.327"
"9255.524173873","430.175","430.175","430.175"
"9270.523497789","431.267","431.267","431.267"
"9285.523633833","425.025","425.025","425.025"
"9300.522393476","431.241","431.241","431.241"
"9315.523665004","430.812","430.812","430.812"
"9330.523263831","427.567","427.567","427.567"
"9345.52451503","431.775","431.775","431.775"
"9360.524354213","430.586","430.586","430.586"
"9375.525024902","426.525","426.525","426.525"
"9390.524159484","435.07","435.07","435.07"
"9405.523671141","430.839","430.839","430.839"
"9420.523466571","432.054","432.054","432.054"
"9435.523459059","437.167","437.167","437.167"
"9450.522660747","426.972","426.972","426.972"
"9465.523029899","430.709","430.709","430.709"
"9480.522987743","426.715","426.715","426.715"
"9495.524916709","428.958","428.958","428.958"
"9510.523545651","430.975","430.975","430.975"
"9525.523379789","428.43","428.43","428.43"
"9540.523398642","429.2","429.2","429.2"
"9555.523652788","430.724","430.724","430.724"
"9570.523980474","428.467","428.467","428.467"
"9585.523795605","429.652","429.652","429.652"
"9600.522581699","431.454","431.454","431.454"
